iter	RMSE
183	4.518360065
184	4.512953666
185	4.512268219
186	4.508738253
187	4.501319891
188	4.482790671
189	4.482167171
190	4.478938782
191	4.476016596
192	4.470044184
193	4.46864817
194	4.459023382
195	4.439794948
196	4.429928568
197	4.415548912
198	4.411933778
199	4.411072575
200	4.404949116
201	4.404175623
202	4.40100093
203	4.394388396
204	4.391094533
205	4.390363404
206	4.379354998
207	4.371820884
208	4.365402008
209	4.363136104
210	4.362412118
211	4.361627137
212	4.359111673
213	4.35817276
214	4.350530217
215	4.34976526
216	4.346496093
217	4.344452337
218	4.329611332
219	4.328194851
220	4.327477637
221	4.326464567
222	4.325790747
223	4.317611046
224	4.31548986
225	4.314737871
226	4.314128786
227	4.307588511
228	4.306963603
229	4.306325069
230	4.305638198
231	4.305005333
232	4.304383683
233	4.30374989
234	4.303157499
235	4.3024617
236	4.301861193
237	4.29996315
238	4.297820093
239	4.29598142
240	4.295402187
241	4.278625264
242	4.278002999
243	4.263339493
244	4.262713684
245	4.262085291
246	4.249393021
247	4.248764039
248	4.246893835
249	4.246356092
250	4.233763301
251	4.233231421
252	4.231341689
253	4.229697341
254	4.227750823
255	4.22723857
256	4.215276418
257	4.193433819
258	4.181971486
259	4.176451238
260	4.175872613
261	4.175375124
262	4.163421612
263	4.154338325
264	4.142959896
265	4.142468235
266	4.141913974
267	4.132048988
268	4.123394342
269	4.106126458
270	4.105651857
271	4.104155589
272	4.095682626
273	4.084325937
274	4.083827606
275	4.082416432
276	4.072209384
277	4.059955673
278	4.052259136
279	4.035933491
280	4.034310247
281	4.027207648
282	4.026744456
283	4.010688772
284	3.998637932
285	3.989147597
286	3.986443973
287	3.984911673
288	3.984454804
289	3.983172077
290	3.971273015
291	3.963558177
292	3.96231797
293	3.953010489
294	3.943595696
295	3.942384201
296	3.941209161
297	3.940717727
298	3.940295959
299	3.939143834
300	3.923601711
301	3.920385125
302	3.919361934
303	3.906226202
304	3.905455976
305	3.904375149
306	3.903999959
307	3.902857571
308	3.902488807
309	3.902123825
310	3.90176255
311	3.900735216
312	3.892628415
313	3.884654693
314	3.884280197
315	3.883672027
316	3.868827844
317	3.856723135
318	3.856265459
319	3.855924481
320	3.83945017
321	3.838681485
322	3.837753093
323	3.837085735
324	3.82634531
325	3.82579851
326	3.825475226
327	3.811623562
328	3.803924277
329	3.80352041
330	3.794089313
331	3.793450014
332	3.779670825
333	3.769231842
334	3.758635586
335	3.74986731
336	3.739706321
337	3.729000468
338	3.721692954
339	3.709555651
340	3.709242308
341	3.708914247
342	3.70808893
343	3.7030354
344	3.694377663
345	3.686966847
346	3.67798398
347	3.677687422
348	3.668245418
349	3.667797535
350	3.667149156
351	3.666841721
352	3.657639624
353	3.656877276
354	3.647927087
355	3.647624025
356	3.640165161
357	3.639337832
358	3.631735539
359	3.620080591
360	3.612535754
361	3.601046769
362	3.593554576
363	3.58494532
364	3.574952376
365	3.566823941
366	3.566533314
367	3.56602509
368	3.55904519
369	3.547080506
370	3.540180244
371	3.534317851
372	3.529623604
373	3.524506421
374	3.523048145
375	3.51179032
376	3.511449868
377	3.510907843
378	3.496894064
379	3.496504516
380	3.496176941
381	3.488716694
382	3.480246221
383	3.479730408
384	3.47927248
385	3.473176165
386	3.472679683
387	3.461292482
388	3.460906663
389	3.451913452
390	3.443927491
391	3.44344208
392	3.434500451
393	3.434186906
394	3.433828829
395	3.423158425
396	3.414713112
397	3.409480664
398	3.409227581
399	3.398729621
400	3.390075078
401	3.389825663
402	3.38539785
403	3.374224163
404	3.365831494
405	3.365494319
406	3.36515878
407	3.356614887
408	3.356285814
409	3.352294209
410	3.345629385
411	3.338861399
412	3.330282703
413	3.324709589
414	3.313464573
415	3.31314769
416	3.306570449
417	3.298644861
418	3.290561001
419	3.290294071
420	3.282809872
421	3.278700448
422	3.273267562
423	3.263103309
424	3.254202705
425	3.247863953
426	3.23732657
427	3.225160572
428	3.218567098
429	3.210314664
430	3.201659342
431	3.195504188
432	3.188438657
433	3.183125682
434	3.17581918
435	3.17007422
436	3.166706699
437	3.15982137
438	3.154300579
439	3.143591725
440	3.138387515
441	3.131809858
442	3.122138152
443	3.116455967
444	3.109087893
445	3.10339201
446	3.100685
447	3.094002575
448	3.088128139
449	3.083918
450	3.083611468
451	3.078018034
452	3.070898408
453	3.065308444
454	3.061781683
455	3.054121572
456	3.052005903
457	3.051756255
458	3.046934822
459	3.04022629
460	3.033051999
461	3.032761721
462	3.02716291
463	3.021222896
464	3.0178879
465	3.013861628
466	3.008892136
467	3.006372182
468	3.001379149
469	2.996865467
470	2.993687149
471	2.991376954
472	2.984209199
473	2.978190995
474	2.97247056
475	2.967321505
476	2.964466591
477	2.961697885
478	2.957726797
479	2.953081875
480	2.950905215
481	2.946019906
482	2.943159981
483	2.938110649
484	2.929981396
485	2.922287338
486	2.918827399
487	2.91574714
488	2.912056729
489	2.907579593
490	2.899989749
491	2.892703641
492	2.887570282
493	2.884809514
494	2.881432813
495	2.877874408
496	2.874092323
497	2.86998754
498	2.866539414
499	2.862228434
500	2.859309403
501	2.851863537
502	2.848536222
503	2.845043725
504	2.843015912
505	2.837293389
506	2.835282203
507	2.833233449
508	2.830045044
509	2.823530125
510	2.820550257
511	2.817965867
512	2.815268362
513	2.8065441
514	2.806353703
515	2.804658346
516	2.800546031
517	2.800367758
518	2.797391296
519	2.791505145
520	2.787072629
521	2.780958282
522	2.778352939
523	2.772838203
524	2.768499487
525	2.765067415
526	2.762847581
527	2.758491298
528	2.758255967
529	2.752425007
530	2.746728899
531	2.743039298
532	2.740201397
533	2.735222919
534	2.730717396
535	2.727976639
536	2.727754361
537	2.723007389
538	2.719241798
539	2.715194938
540	2.713434055
541	2.710418138
542	2.704287169
543	2.70175063
544	2.701534711
545	2.698944912
546	2.69395717
547	2.691123797
548	2.686755439
549	2.681477084
550	2.678846707
551	2.6764578
552	2.674383716
553	2.670541696
554	2.668606876
555	2.66317349
556	2.65778623
557	2.655755381
558	2.653870211
559	2.651348218
560	2.649252433
561	2.643541921
562	2.638389174
563	2.634782539
564	2.634650564
565	2.631024838
566	2.624966688
567	2.62135966
568	2.616066812
569	2.61587108
570	2.613550093
571	2.61011005
572	2.604639644
573	2.602811343
574	2.602650655
575	2.602528996
576	2.597383714
577	2.592028284
578	2.589136404
579	2.584180843
580	2.581759229
581	2.580408902
582	2.57752958
583	2.577373076
584	2.573175757
585	2.573027563
586	2.57062213
587	2.57048383
588	2.564843016
589	2.564719847
590	2.564581483
591	2.56446106
592	2.559759085
593	2.555935207
594	2.551399863
595	2.549219014
596	2.542898626
597	2.541095406
598	2.540921578
599	2.535616464
600	2.532360989
601	2.530807989
602	2.530638988
603	2.530272744
604	2.529096173
605	2.52896744
606	2.526151478
607	2.520528243
608	2.518962656
609	2.516848152
610	2.516720411
611	2.516556668
612	2.516142847
613	2.516016858
614	2.512085274
615	2.511964061
616	2.505458262
617	2.504292282
618	2.501216063
619	2.499854308
620	2.499710225
621	2.495575221
622	2.495421591
623	2.492067448
624	2.491951322
625	2.490948542
626	2.490816883
627	2.488772593
628	2.488648711
629	2.486649539
630	2.486550438
631	2.486440693
632	2.486320757
633	2.486226398
634	2.48611503
635	2.480207238
636	2.480097004
637	2.479992546
638	2.474249216
639	2.471003915
640	2.469444554
641	2.467463887
642	2.467357254
643	2.462478356
644	2.462392338
645	2.462272307
646	2.457462213
647	2.452965195
648	2.448414435
649	2.448313382
650	2.446928926
651	2.443943815
652	2.441949451
653	2.441815699
654	2.439999588
655	2.437551692
656	2.437468445
657	2.437384941
658	2.435156438
659	2.435074177
660	2.433341248
661	2.428919888
662	2.428836163
663	2.427960481
664	2.427880611
665	2.427799061
666	2.427718372
667	2.427628585
668	2.426891484
669	2.424198069
670	2.424068509
671	2.419471937
672	2.415008538
673	2.412137524
674	2.407473117
675	2.40564601
676	2.403551333
677	2.402461605
678	2.399883316
679	2.398040238
680	2.396602587
681	2.396521281
682	2.393004571
683	2.3929063
684	2.39045247
685	2.384900828
686	2.382211474
687	2.382115244
688	2.382020421
689	2.381937738
690	2.378359739
691	2.377010538
692	2.376938757
693	2.376867686
694	2.374080642
695	2.37264756
696	2.36990674
697	2.366095726
698	2.366029588
699	2.365918963
700	2.36248172
701	2.359232587
702	2.358184821
703	2.35811744
704	2.355391667
705	2.355328463
706	2.355253752
707	2.355151441
708	2.349659344
709	2.348275342
710	2.346899994
711	2.343657917
712	2.342718108
713	2.339510168
714	2.337994089
715	2.337319451
716	2.336542592
717	2.332935059
718	2.327644067
719	2.325720749
720	2.321425136
721	2.318008357
722	2.317014832
723	2.314661343
724	2.310307304
725	2.30715768
726	2.307077416
727	2.303460342
728	2.303271559
729	2.302184873
730	2.298706465
731	2.296819635
732	2.294353205
733	2.293387724
734	2.290615753
735	2.288193596
736	2.287246552
737	2.287186695
738	2.28409528
739	2.284011646
740	2.283906525
741	2.281769058
742	2.280595681
743	2.276690342
744	2.273698729
745	2.272959927
746	2.270267975
747	2.267865491
748	2.266947271
749	2.265427591
750	2.262208028
751	2.259073497
752	2.255055093
753	2.253460295
754	2.251992701
755	2.249981387
756	2.2493481
757	2.247394989
758	2.245171599
759	2.245065716
760	2.243095449
761	2.243039904
762	2.238989862
763	2.238469627
764	2.237399141
765	2.236344702
766	2.236269412
767	2.235398121
768	2.23516144
769	2.234457838
770	2.234407093
771	2.234148378
772	2.234078242
773	2.234009826
774	2.231329265
775	2.230202387
776	2.228018235
777	2.227969442
778	2.224963461
779	2.220849132
780	2.218743681
781	2.215290143
782	2.214147093
783	2.213318983
784	2.213270544
785	2.211739508
786	2.208844417
787	2.206998814
788	2.206702491
789	2.204176944
790	2.204091539
791	2.200852473
792	2.198287618
793	2.194140858
794	2.193562823
795	2.191952178
796	2.191862432
797	2.190214429
798	2.18914673
799	2.188172646
800	2.186429801
801	2.186368465
802	2.186324537
803	2.185760582
804	2.185656069
805	2.185612595
806	2.182902588
807	2.181303894
808	2.179055001
809	2.176297316
810	2.173231894
811	2.172017877
812	2.169487723
813	2.168982372
814	2.1680602
815	2.168018076
816	2.167709073
817	2.167667638
818	2.166760269
819	2.165125407
820	2.163359166
821	2.16287971
822	2.161976602
823	2.159904539
824	2.158785249
825	2.158084336
826	2.158043846
827	2.156228757
828	2.155491468
829	2.154184053
830	2.153267843
831	2.153228962
832	2.150854651
833	2.15031102
834	2.147455457
835	2.145869115
836	2.144085444
837	2.141292061
838	2.141238722
839	2.140278686
840	2.136748274
841	2.13669453
842	2.136641593
843	2.135539159
844	2.134299906
845	2.133424123
846	2.131761399
847	2.128581954
848	2.127886891
849	2.127848961
850	2.127811427
851	2.126832688
852	2.124365625
853	2.124242992
854	2.123395584
855	2.123344851
856	2.123308683
857	2.123262676
858	2.122595004
859	2.122548828
860	2.120464754
861	2.118085857
862	2.118050919
863	2.118016331
864	2.11797186
865	2.117389554
866	2.116194912
867	2.11535418
868	2.114500485
869	2.110950014
870	2.110916248
871	2.107664666
872	2.106629436
873	2.10377942
874	2.100975422
875	2.098229855
876	2.098196567
877	2.094752514
878	2.094707199
879	2.094335665
880	2.094303311
881	2.092634981
882	2.090784443
883	2.089485383
884	2.087414538
885	2.087381979
886	2.087337768
887	2.087279514
888	2.084633909
889	2.084591831
890	2.084549984
891	2.084259699
892	2.08306259
893	2.081353696
894	2.079451796
895	2.078930631
896	2.077373161
897	2.076744115
898	2.076703535
899	2.076202234
900	2.076162249
901	2.075340309
902	2.074640532
903	2.072511086
904	2.070357295
905	2.068102945
906	2.06806424
907	2.065388543
908	2.065129501
909	2.064491667
910	2.064455816
911	2.06147752
912	2.060106368
913	2.05727315
914	2.056620866
915	2.056168815
916	2.05222932
917	2.050120202
918	2.047840745
919	2.045377352
920	2.043519844
921	2.041473148
922	2.039648422
923	2.038117599
924	2.036641445
925	2.036602559
926	2.032473791
927	2.031209967
928	2.030327094
929	2.030292071
930	2.029177229
931	2.02836358
932	2.026512624
933	2.024031245
934	2.022005322
935	2.021582853
936	2.02077361
937	2.019552284
938	2.019233244
939	2.018236266
940	2.017200753
941	2.015503975
942	2.014347063
943	2.012009331
944	2.010015691
945	2.007396817
946	2.006065422
947	2.005190767
948	2.003512535
949	2.00227001
950	2.000092223
951	1.997210717
952	1.99527278
953	1.993566574
954	1.992509982
955	1.990382816
956	1.989684187
957	1.988262278
958	1.987042747
959	1.986346217
960	1.985199164
961	1.984931182
962	1.98428009
963	1.98424002
964	1.982372997
965	1.980747419
966	1.980248692
967	1.978416146
968	1.97837122
969	1.976424923
970	1.976019525
971	1.975720593
972	1.97408516
973	1.972342413
974	1.971174303
975	1.970733056
976	1.969237628
977	1.968222413
978	1.965620295
979	1.96521737
980	1.965183839
981	1.964210602
982	1.96415858
983	1.96413386
984	1.964094451
985	1.964063619
986	1.962954048
987	1.96207282
988	1.961695124
989	1.961663786
990	1.960204686
991	1.958547691
992	1.956862554
993	1.955069375
994	1.953445664
995	1.952945281
996	1.950373579
997	1.949460187
998	1.949366423
999	1.94863733
